Road ID,Road Name,Length (km),Type,Condition,Year Built
R104,Road_104,5.3,Dirt,Fair,1983.0
R105,Road_105,9.1,Asphalt,Good,2004.0
R106,Road_106,2.9,Dirt,nan,2017.0
R107,Road_107,4.4,Dirt,Fair,1994.0
nan,Road_108,,nan,Good,2000.0
R109,Road_109,2.7,Gravel,nan,2014.0
R110,Road_110,1.2,Gravel,nan,1993.0
R111,nan,3.3,Dirt,Good,2015.0
R112,Road_112,2.0,Dirt,Fair,1991.0
R113,Road_113,9.3,Gravel,Poor,1996.0
R114,Road_114,8.2,Gravel,nan,2018.0
R115,Road_115,6.5,Asphalt,Fair,1988.0
R116,Road_116,8.8,Asphalt,Good,2014.0
R117,nan,,nan,Fair,1992.0
nan,Road_118,2.3,Dirt,Poor,1994.0
nan,Road_119,9.0,Dirt,Fair,1997.0
R120,Road_120,5.6,Dirt,Good,2012.0
R121,Road_121,8.2,Dirt,Poor,1985.0
R122,Road_122,9.0,Asphalt,Fair,
R123,Road_123,3.5,Gravel,Good,2002.0
R124,Road_124,1.5,Dirt,nan,2006.0
R125,Road_125,2.7,Asphalt,Good,2013.0
R126,Road_126,4.6,Dirt,Poor,2017.0
R127,Road_127,8.3,Gravel,nan,1993.0
R128,Road_128,8.7,Asphalt,Good,2015.0
R129,Road_129,0.6,Gravel,nan,
R130,Road_130,5.4,Gravel,nan,2014.0
R131,Road_131,4.5,Asphalt,Good,1998.0
nan,nan,2.6,Asphalt,Fair,2009.0
R133,Road_133,1.6,nan,Good,1993.0
R134,Road_134,3.7,Asphalt,Poor,1999.0
R135,Road_135,9.5,Asphalt,Poor,2004.0
nan,Road_136,3.6,Asphalt,Poor,2019.0
R137,Road_137,,Asphalt,Poor,2003.0
nan,Road_138,7.2,Dirt,Fair,1993.0
R139,Road_139,4.0,Gravel,Good,2005.0
R140,Road_140,9.7,Asphalt,Fair,2017.0
R141,Road_141,9.6,Dirt,Good,2002.0
nan,Road_142,2.9,Dirt,Good,2001.0
R143,Road_143,5.2,Dirt,Good,1998.0
R144,Road_144,3.4,Gravel,Fair,1982.0
nan,Road_145,3.2,Asphalt,Good,2021.0
R146,Road_146,0.9,Dirt,Fair,1998.0
R147,Road_147,6.3,Gravel,nan,1988.0
R148,Road_148,5.3,Gravel,Poor,
R149,Road_149,1.0,nan,Good,1999.0
R150,Road_150,3.1,Dirt,nan,1986.0
R151,Road_151,9.1,Asphalt,Poor,1993.0
R152,Road_152,2.8,nan,Fair,1988.0
R153,Road_153,1.9,Dirt,Fair,
R154,Road_154,5.1,Asphalt,Good,1993.0
R155,Road_155,9.9,Asphalt,Poor,2017.0
nan,Road_156,2.8,Asphalt,Good,2015.0
R157,Road_157,6.9,Gravel,Good,2019.0
R158,Road_158,7.7,nan,Poor,1996.0
R159,Road_159,2.8,Dirt,Poor,2009.0
R160,Road_160,7.4,Asphalt,Fair,1988.0
R161,Road_161,4.0,Dirt,Poor,2012.0
R162,Road_162,6.5,nan,Fair,2004.0
R163,Road_163,6.5,Dirt,Fair,
R164,Road_164,5.6,Dirt,Fair,1990.0
R165,Road_165,1.4,Asphalt,Poor,2014.0
R166,Road_166,8.4,Asphalt,Good,2020.0
R167,Road_167,3.5,Dirt,Fair,1993.0
R168,Road_168,2.3,Asphalt,Good,2009.0
R169,Road_169,0.9,Gravel,Good,2020.0
R170,Road_170,6.1,Gravel,Poor,1983.0
R171,Road_171,,Asphalt,Good,1983.0
R172,Road_172,0.7,Gravel,Good,2007.0
R173,Road_173,5.4,Asphalt,Poor,1987.0
R174,Road_174,2.7,Dirt,Fair,1981.0
R175,Road_175,6.6,Dirt,Good,2020.0
R176,Road_176,2.2,Gravel,Poor,2001.0
R177,Road_177,7.1,nan,Good,
R178,Road_178,4.2,Asphalt,Good,1995.0
R179,Road_179,9.4,Gravel,Fair,2008.0
R180,Road_180,1.8,Dirt,Good,2009.0
R181,Road_181,3.7,Gravel,Poor,
R182,Road_182,1.6,nan,Good,2014.0
R183,Road_183,9.3,Asphalt,Fair,1990.0
nan,Road_184,8.8,Dirt,Fair,2000.0
R185,Road_185,3.0,Gravel,Poor,2000.0
R186,Road_186,6.8,Asphalt,Fair,1984.0
R187,Road_187,8.3,Gravel,Good,1999.0
R188,Road_188,5.8,Gravel,Fair,2016.0
R189,Road_189,5.5,Dirt,Poor,1982.0
R190,Road_190,2.8,nan,Fair,
R191,Road_191,1.4,Dirt,Fair,1988.0
R192,Road_192,9.0,Asphalt,Fair,1988.0
nan,Road_193,9.1,Dirt,Poor,1983.0
R194,Road_194,6.5,Asphalt,Fair,2014.0
R195,Road_195,3.7,Dirt,Fair,1996.0
R196,Road_196,3.8,Gravel,Good,2013.0
nan,Road_197,,Dirt,Poor,2003.0
R198,Road_198,9.0,Dirt,Fair,2011.0
R199,Road_199,8.9,Asphalt,Poor,1980.0
R200,Road_200,7.9,Gravel,Fair,1987.0
R201,Road_201,6.6,Dirt,Fair,2002.0
nan,Road_202,,Gravel,Fair,2019.0
R203,Road_203,2.0,Dirt,Good,1991.0
R204,Road_204,9.0,Dirt,Good,1991.0
R205,Road_205,6.3,Gravel,Good,1994.0
nan,Road_206,0.6,Dirt,Poor,2020.0
R207,Road_207,1.5,Gravel,Poor,1998.0
R208,Road_208,6.8,Dirt,Good,2005.0
R209,Road_209,0.5,Asphalt,nan,2008.0
R210,Road_210,2.0,Gravel,Fair,2001.0
R211,Road_211,5.7,Dirt,Fair,2019.0
R212,Road_212,7.1,Dirt,Fair,2000.0
R213,Road_213,6.7,Asphalt,Good,2017.0
R214,Road_214,2.6,Gravel,Poor,1999.0
R215,nan,7.3,Dirt,Good,2008.0
R216,Road_216,2.8,Asphalt,Poor,1983.0
R217,Road_217,3.6,Dirt,Fair,1986.0
R218,Road_218,7.6,Gravel,Good,2007.0
nan,Road_219,6.7,nan,Poor,2007.0
R220,Road_220,,Dirt,Poor,1983.0
R221,Road_221,6.7,Dirt,Fair,2001.0
R222,Road_222,5.9,Dirt,Good,1991.0
R223,Road_223,1.4,Asphalt,Good,1982.0
R224,Road_224,4.0,nan,Good,2001.0
R225,Road_225,3.0,Gravel,Fair,1981.0
R226,Road_226,2.8,Asphalt,Good,2003.0
R227,Road_227,,Asphalt,Fair,2013.0
R228,Road_228,4.2,Gravel,Fair,2006.0
R229,Road_229,9.0,Asphalt,Fair,2020.0
R230,Road_230,6.5,Asphalt,nan,1980.0
R231,Road_231,8.1,Gravel,Good,1987.0
R232,Road_232,5.3,Gravel,Good,2002.0
R233,Road_233,6.0,Gravel,Fair,2017.0
R234,Road_234,5.2,Dirt,Fair,1985.0
R235,Road_235,2.4,Dirt,Good,2001.0
R236,Road_236,7.4,Gravel,Fair,2004.0
R237,Road_237,3.2,Gravel,nan,1997.0
R238,Road_238,0.7,nan,Poor,
R239,Road_239,6.6,nan,Fair,1991.0
R240,Road_240,2.2,Dirt,Good,1985.0
R241,Road_241,9.4,Asphalt,Fair,2005.0
R242,Road_242,9.6,Asphalt,Good,2006.0
R243,Road_243,9.2,Gravel,Good,1987.0
R244,Road_244,4.0,nan,Fair,1998.0
R245,Road_245,0.6,Dirt,Poor,2021.0
R246,Road_246,9.3,Dirt,Good,1980.0
R247,Road_247,,Gravel,Good,2008.0
R248,nan,9.7,Asphalt,Good,2014.0
R249,Road_249,9.7,Gravel,Poor,2019.0
R250,Road_250,8.6,Asphalt,nan,1993.0
R251,Road_251,3.3,Asphalt,Fair,2014.0
R252,nan,,nan,Poor,1999.0
R253,Road_253,8.6,Asphalt,Fair,1992.0
nan,Road_254,3.5,Asphalt,Fair,2017.0
R255,nan,2.1,Dirt,Poor,1987.0
R256,nan,5.8,Asphalt,Fair,2022.0
R257,Road_257,9.4,Gravel,Poor,1999.0
R258,Road_258,7.1,Gravel,Fair,2012.0
R259,nan,5.9,Asphalt,Poor,
R260,Road_260,,Dirt,Poor,2018.0
R261,Road_261,6.3,Dirt,nan,2000.0
R262,Road_262,9.9,Asphalt,Good,2021.0
R263,Road_263,,Asphalt,nan,2022.0
R264,nan,5.4,Gravel,Poor,2020.0
nan,Road_265,8.8,Asphalt,Good,1988.0
nan,nan,7.5,Dirt,Fair,2003.0
nan,Road_267,7.1,Asphalt,Fair,2016.0
R268,Road_268,7.2,Gravel,Fair,2020.0
R269,nan,3.9,Gravel,Good,1996.0
R270,Road_270,3.3,Gravel,Poor,2003.0
R271,Road_271,8.2,Gravel,Fair,2000.0
R272,Road_272,8.2,nan,Fair,2018.0
R273,Road_273,8.7,Asphalt,Fair,2020.0
R274,Road_274,9.2,nan,Fair,2018.0
R275,Road_275,5.4,Asphalt,nan,1992.0
R276,Road_276,5.3,Asphalt,Poor,
R277,Road_277,8.1,Gravel,Poor,1998.0
R278,Road_278,6.7,Dirt,Fair,1990.0
R279,Road_279,7.2,Asphalt,Good,1992.0
nan,Road_280,8.1,Dirt,Poor,1980.0
R281,Road_281,9.0,Asphalt,Good,
R282,Road_282,3.7,Asphalt,Poor,1998.0
R283,Road_283,4.1,Dirt,Fair,1991.0
R284,Road_284,,Gravel,Poor,1987.0
R285,Road_285,6.0,Asphalt,Fair,1987.0
R286,Road_286,0.8,Asphalt,Poor,1991.0
R287,Road_287,4.9,nan,nan,2012.0
R288,Road_288,5.7,Dirt,Fair,2005.0
R289,Road_289,3.2,Gravel,Fair,2018.0
R290,Road_290,6.1,Dirt,nan,2007.0
R291,Road_291,0.8,Dirt,Good,1984.0
R292,Road_292,0.9,Gravel,Fair,1987.0
R293,Road_293,8.3,Dirt,Good,2004.0
R294,nan,3.9,Gravel,Good,2006.0
nan,Road_295,1.7,Asphalt,Fair,2002.0
nan,nan,5.5,Gravel,nan,2009.0
R297,Road_297,7.8,Asphalt,Poor,
R298,Road_298,2.6,Dirt,Fair,1999.0
R299,Road_299,6.4,Dirt,nan,
R300,nan,1.3,Asphalt,Fair,1997.0
R301,nan,,nan,Fair,1981.0
R302,Road_302,,Gravel,nan,1983.0
R303,Road_303,5.6,Asphalt,Good,2009.0
R304,Road_304,6.6,nan,Poor,2012.0
R305,Road_305,7.4,Asphalt,Poor,2015.0
R306,nan,9.8,Gravel,Good,1997.0
R307,nan,5.4,Gravel,Fair,2016.0
R308,Road_308,3.6,Dirt,Good,1998.0
R309,Road_309,8.1,Gravel,Good,2007.0
R310,Road_310,3.1,Asphalt,Good,2019.0
R311,Road_311,,Gravel,Fair,1999.0
R312,Road_312,,Asphalt,nan,2012.0
R313,Road_313,0.7,Asphalt,Fair,1991.0
R314,Road_314,9.6,nan,Good,1994.0
R315,Road_315,8.4,Dirt,Poor,2020.0
nan,Road_316,7.1,Gravel,Good,2018.0
R317,Road_317,4.4,Asphalt,Good,1981.0
R318,Road_318,2.1,Asphalt,Poor,2008.0
nan,Road_319,2.0,nan,Fair,2020.0
R320,Road_320,2.9,Dirt,Fair,1989.0
R321,Road_321,5.7,Dirt,Good,1981.0
R322,Road_322,7.3,Asphalt,Poor,1990.0
R323,Road_323,6.8,Asphalt,Fair,1992.0
R324,Road_324,3.2,Dirt,Good,1989.0
R325,Road_325,9.6,Gravel,Poor,1993.0
R326,Road_326,7.5,Asphalt,Fair,1997.0
R327,Road_327,5.8,Asphalt,Fair,
R328,Road_328,6.3,Dirt,Poor,2018.0
R329,Road_329,4.5,Gravel,Poor,
R330,Road_330,2.9,Dirt,Poor,1982.0
R331,Road_331,3.9,Gravel,Poor,
R332,Road_332,7.7,Gravel,Good,1985.0
R333,Road_333,0.6,Gravel,Poor,2006.0
R334,Road_334,1.6,Asphalt,Fair,1981.0
R335,Road_335,0.9,nan,Fair,2008.0
R336,Road_336,0.9,Dirt,Good,2017.0
R337,Road_337,8.6,Gravel,Fair,1982.0
R338,Road_338,7.2,Asphalt,Fair,1995.0
R339,Road_339,5.0,Asphalt,Poor,2009.0
nan,Road_340,1.4,nan,Fair,2019.0
R341,nan,5.2,Asphalt,Good,1981.0
R342,Road_342,5.0,Asphalt,Poor,1996.0
R343,Road_343,2.1,Gravel,Poor,2020.0
R344,Road_344,4.6,Asphalt,Good,1991.0
R345,Road_345,4.3,Gravel,Poor,
R346,Road_346,6.4,Dirt,Poor,2022.0
R347,Road_347,6.5,Asphalt,Good,
R348,Road_348,0.9,nan,Poor,1994.0
R349,Road_349,4.1,Dirt,Good,2005.0
R350,Road_350,6.4,Asphalt,nan,2016.0
R351,Road_351,5.3,Asphalt,Fair,2000.0
R352,Road_352,8.6,Dirt,Fair,2010.0
R353,Road_353,6.8,Asphalt,Poor,2004.0
R354,Road_354,2.0,Gravel,Poor,2002.0
R355,Road_355,1.2,Gravel,Good,2003.0
R356,Road_356,6.6,nan,Poor,2017.0
R357,Road_357,0.8,nan,Good,2007.0
R358,Road_358,6.1,nan,Good,2000.0
R359,Road_359,9.4,Asphalt,Poor,2022.0
R360,Road_360,6.0,Dirt,Good,1997.0
R361,Road_361,4.2,Dirt,Fair,2015.0
R362,Road_362,6.6,Gravel,Poor,2014.0
R363,Road_363,4.9,Dirt,Fair,1988.0
R364,Road_364,5.7,Gravel,Poor,2017.0
R365,Road_365,9.4,Dirt,Good,2009.0
R366,Road_366,,Asphalt,Poor,
R367,Road_367,9.6,Gravel,Fair,2011.0
R368,nan,9.1,Gravel,Good,1982.0
R369,Road_369,2.4,Gravel,Poor,1982.0
R370,Road_370,1.2,Asphalt,nan,2007.0
R371,Road_371,,nan,Poor,1994.0
R372,Road_372,0.7,Asphalt,Fair,2020.0
R373,nan,1.4,Asphalt,Fair,2002.0
R374,Road_374,7.0,Asphalt,Poor,2019.0
R375,Road_375,1.2,Gravel,Good,1990.0
nan,Road_376,3.5,Asphalt,Good,2011.0
R377,nan,8.5,Gravel,nan,2015.0
R378,Road_378,0.7,Asphalt,Good,2012.0
R379,Road_379,8.2,Dirt,Fair,2003.0
R380,Road_380,3.2,nan,Poor,2018.0
R381,Road_381,1.6,Dirt,Fair,2013.0
R382,Road_382,7.1,nan,Fair,2007.0
R383,Road_383,6.5,Dirt,Poor,2016.0
R384,Road_384,8.8,Asphalt,Good,1986.0
R385,Road_385,7.5,Asphalt,Fair,1983.0
R386,Road_386,8.1,Asphalt,Fair,2016.0
R387,Road_387,3.2,Gravel,Poor,1980.0
R388,Road_388,2.2,Dirt,Good,1980.0
R389,Road_389,7.6,Asphalt,Fair,1999.0
R390,Road_390,8.2,Dirt,Poor,1998.0
R391,Road_391,,Dirt,Fair,
nan,Road_392,,Asphalt,Poor,1989.0
R393,Road_393,4.0,Asphalt,Good,
R394,Road_394,7.9,Dirt,Good,2007.0
R395,Road_395,3.7,Asphalt,Good,2014.0
R396,Road_396,9.3,Asphalt,nan,2022.0
R397,Road_397,,Asphalt,nan,2010.0
R398,Road_398,4.6,Gravel,Fair,2006.0
R399,Road_399,7.6,Dirt,Good,1990.0
R400,Road_400,7.7,Dirt,Good,2017.0
R401,Road_401,1.5,Gravel,Good,1984.0
R402,Road_402,9.1,Dirt,Fair,1987.0
R403,Road_403,5.3,Asphalt,Good,2013.0
R404,Road_404,8.4,Dirt,Good,1991.0
R405,Road_405,3.5,Asphalt,nan,2017.0
nan,Road_406,9.0,nan,Poor,1980.0
R407,Road_407,4.2,Asphalt,Good,2010.0
R408,Road_408,0.6,Dirt,Poor,1983.0
R409,Road_409,,Dirt,Poor,1984.0
R410,Road_410,1.4,nan,Good,2009.0
R411,Road_411,3.5,Gravel,Poor,2003.0
R412,Road_412,9.5,Gravel,Good,1982.0
R413,Road_413,9.5,Dirt,Fair,1990.0
nan,Road_414,5.9,Asphalt,Fair,1983.0
R415,Road_415,6.5,Gravel,Fair,2005.0
R416,Road_416,4.8,Dirt,Fair,2006.0
nan,nan,3.3,Dirt,Poor,2022.0
R418,Road_418,3.6,nan,Good,2006.0
nan,Road_419,6.9,Gravel,Good,2021.0
R420,Road_420,7.6,Gravel,Good,1985.0
R421,Road_421,8.0,Asphalt,Fair,1994.0
R422,Road_422,8.0,nan,Fair,2009.0
nan,Road_423,1.4,Dirt,Good,2021.0
R424,Road_424,,nan,Fair,2016.0
R425,Road_425,1.0,Asphalt,Good,2016.0
R426,Road_426,5.7,nan,nan,2021.0
nan,Road_427,4.7,Dirt,Good,
R428,Road_428,8.9,Asphalt,nan,2014.0
R429,Road_429,3.8,Asphalt,Good,2002.0
R430,Road_430,1.6,Asphalt,nan,1985.0
nan,Road_431,1.9,Dirt,Good,1983.0
R432,Road_432,7.7,Gravel,Fair,
R433,Road_433,,Asphalt,Good,1988.0
R434,Road_434,1.5,Dirt,Good,2008.0
nan,Road_435,1.3,Gravel,Fair,1992.0
R436,nan,7.2,Dirt,Fair,1996.0
R437,Road_437,1.2,Gravel,Fair,2011.0
R438,Road_438,8.3,Dirt,Good,2001.0
R439,Road_439,7.2,nan,nan,1983.0
R440,Road_440,,Asphalt,Poor,1984.0
R441,Road_441,1.3,Gravel,Fair,2016.0
R442,nan,9.9,Dirt,Poor,2020.0
R443,Road_443,4.1,Dirt,Fair,1992.0
R444,Road_444,4.0,nan,Good,2013.0
R445,Road_445,8.2,Asphalt,Poor,2001.0
R446,Road_446,9.5,Asphalt,Good,2002.0
R447,Road_447,9.9,Gravel,Poor,1982.0
R448,nan,,Gravel,Good,2021.0
R449,Road_449,4.1,Dirt,Poor,2013.0
nan,nan,1.3,Asphalt,Good,2011.0
R451,Road_451,7.9,Gravel,Good,
nan,nan,5.8,Asphalt,Poor,2000.0
R453,nan,4.5,nan,Good,1990.0
nan,Road_454,9.1,Gravel,Good,2018.0
R455,Road_455,,Asphalt,Good,1983.0
R456,Road_456,5.2,Gravel,Poor,1980.0
R457,Road_457,0.6,Gravel,Poor,2007.0
R458,nan,5.0,Dirt,Good,2003.0
R459,Road_459,1.0,Gravel,Good,
R460,Road_460,1.6,Gravel,Poor,1992.0
R461,Road_461,1.6,Gravel,Poor,2013.0
R462,Road_462,6.7,Dirt,Good,1990.0
R463,Road_463,7.6,Asphalt,Good,2015.0
R464,Road_464,6.0,Dirt,Good,1996.0
R465,nan,9.6,Dirt,Fair,2014.0
R466,Road_466,4.1,Asphalt,Poor,1997.0
R467,Road_467,,Dirt,Fair,2019.0
R468,Road_468,8.8,Asphalt,Poor,2001.0
R469,Road_469,2.6,Dirt,Poor,
R470,Road_470,9.7,Asphalt,nan,
R471,Road_471,0.6,Gravel,Poor,2016.0
R472,Road_472,9.7,Dirt,Poor,2018.0
R473,Road_473,0.9,Dirt,Poor,2000.0
R474,Road_474,,Dirt,Poor,
nan,Road_475,5.5,Dirt,Fair,2007.0
R476,Road_476,9.9,Gravel,Good,1984.0
R477,Road_477,1.2,Dirt,Good,1996.0
R478,Road_478,5.8,Gravel,Fair,2016.0
R479,Road_479,9.7,Gravel,nan,2015.0
nan,Road_480,5.5,Gravel,Fair,1998.0
R481,nan,6.5,Gravel,Fair,2006.0
R482,Road_482,7.1,Asphalt,Poor,2013.0
R483,Road_483,4.8,Asphalt,Good,1990.0
R484,Road_484,6.5,nan,nan,1991.0
R485,Road_485,6.1,Asphalt,Good,2000.0
R486,Road_486,9.1,Asphalt,Good,1990.0
R487,Road_487,0.9,nan,Fair,2018.0
R488,nan,3.2,Dirt,Poor,2007.0
nan,Road_489,9.5,Dirt,Fair,1984.0
R490,Road_490,9.0,Asphalt,Poor,
R491,Road_491,,Asphalt,Good,1999.0
R492,Road_492,6.4,Dirt,Fair,2020.0
R493,Road_493,3.1,Gravel,Fair,1991.0
nan,Road_494,2.3,Dirt,nan,
R495,Road_495,4.9,Gravel,Good,1996.0
R496,nan,3.9,Gravel,Good,1998.0
R497,nan,6.0,Dirt,Fair,2005.0
R498,Road_498,1.2,Dirt,Poor,2011.0
R499,Road_499,9.8,Dirt,Fair,
R500,Road_500,,Asphalt,Poor,2015.0
nan,Road_501,7.1,Gravel,Fair,
R502,Road_502,,Asphalt,Fair,1990.0
nan,Road_503,3.4,Asphalt,Good,2012.0
R504,Road_504,8.2,Dirt,Poor,2003.0
R505,Road_505,7.0,Asphalt,Fair,2002.0
R506,nan,2.0,Dirt,nan,1994.0
R507,Road_507,9.2,Gravel,Good,2006.0
nan,Road_508,8.3,Dirt,Good,1990.0
R509,nan,9.5,Asphalt,Poor,1996.0
nan,Road_510,7.4,Asphalt,Fair,1993.0
R511,Road_511,6.3,Dirt,Poor,2006.0
R512,Road_512,4.5,Dirt,Fair,1997.0
R513,Road_513,9.4,Asphalt,Poor,2007.0
R514,Road_514,8.7,nan,Good,1983.0
R515,Road_515,0.9,Gravel,Fair,1986.0
R516,Road_516,0.8,nan,Poor,2014.0
R517,nan,4.1,Gravel,Good,1988.0
nan,Road_518,8.2,Asphalt,nan,
R519,Road_519,9.9,Dirt,nan,1996.0
nan,Road_520,1.9,Asphalt,Fair,1996.0
R521,Road_521,6.1,Asphalt,Fair,2012.0
R522,Road_522,4.1,Gravel,Good,2011.0
R523,Road_523,9.7,Dirt,Fair,1987.0
R524,nan,8.5,Dirt,Fair,1998.0
R525,Road_525,8.5,Gravel,Fair,2017.0
R526,Road_526,,Asphalt,Good,1982.0
R527,Road_527,4.4,Asphalt,Poor,1984.0
R528,Road_528,3.1,Asphalt,Fair,1992.0
R529,nan,1.0,Asphalt,Good,2010.0
R530,Road_530,8.7,nan,Good,
R531,Road_531,8.2,Dirt,Poor,2011.0
R532,Road_532,10.0,nan,Fair,2001.0
R533,Road_533,10.0,Gravel,Fair,2008.0
R534,Road_534,5.8,nan,Poor,2001.0
nan,Road_535,7.8,Dirt,Poor,2022.0
R536,Road_536,9.5,Asphalt,nan,1982.0
R537,Road_537,,Asphalt,Good,1989.0
R538,Road_538,2.8,Gravel,nan,2021.0
R539,Road_539,4.8,Dirt,Fair,2000.0
R540,nan,1.7,Gravel,Good,1995.0
R541,nan,9.6,Dirt,Good,1991.0
R542,Road_542,6.3,Asphalt,Fair,1981.0
R543,nan,2.7,Gravel,Good,2020.0
R544,Road_544,6.9,Gravel,Fair,2003.0
R545,Road_545,6.4,Dirt,Fair,2014.0
R546,Road_546,3.9,nan,Fair,2009.0
R547,Road_547,1.6,Gravel,Poor,
R548,nan,6.9,Asphalt,Poor,2014.0
R549,Road_549,5.4,Gravel,Poor,1998.0
R550,Road_550,7.8,Asphalt,Fair,1987.0
R551,Road_551,5.4,Dirt,Fair,2005.0
R552,Road_552,8.6,Gravel,Poor,2019.0
R553,Road_553,5.7,Gravel,Good,1986.0
R554,Road_554,5.8,Asphalt,nan,
R555,Road_555,8.8,Asphalt,nan,1986.0
R556,Road_556,4.3,Gravel,nan,1982.0
R557,Road_557,1.8,Dirt,Fair,1980.0
nan,Road_558,0.8,Asphalt,Fair,2015.0
R559,Road_559,7.7,Asphalt,Good,2004.0
R560,Road_560,6.4,Asphalt,Good,2016.0
