Building ID,Building Name,Building Type,Floors,Year Built,Condition
B83,Building_83,Residential,9.0,2006.0,Fair
B84,Building_84,Residential,2.0,2012.0,Good
nan,Building_85,nan,7.0,1980.0,Good
B86,Building_86,Residential,6.0,2013.0,Good
B87,Building_87,Government,2.0,1983.0,Fair
B88,nan,Residential,,1996.0,Fair
nan,Building_89,nan,7.0,,Fair
B90,Building_90,Government,5.0,2022.0,Good
B91,Building_91,nan,5.0,2005.0,Poor
B92,Building_92,Residential,7.0,1983.0,Fair
B93,nan,Government,9.0,1980.0,Poor
B94,Building_94,nan,9.0,1986.0,Good
B95,Building_95,Commercial,9.0,2009.0,Fair
B96,Building_96,Commercial,6.0,1988.0,Poor
nan,Building_97,Residential,6.0,2014.0,Fair
nan,Building_98,nan,3.0,,Fair
nan,Building_99,nan,,2003.0,Fair
B100,Building_100,Residential,7.0,1998.0,Poor
B101,Building_101,Residential,,,nan
B102,Building_102,Government,1.0,,Fair
B103,Building_103,Commercial,8.0,2006.0,Good
B104,Building_104,Residential,6.0,2011.0,Good
B105,Building_105,Commercial,6.0,1993.0,Poor
B106,Building_106,Residential,2.0,1997.0,Poor
B107,Building_107,Commercial,1.0,2007.0,Good
B108,Building_108,nan,2.0,2008.0,Fair
B109,Building_109,Residential,4.0,1995.0,Poor
B110,Building_110,Government,2.0,2014.0,Fair
nan,Building_111,Commercial,1.0,2010.0,Fair
B112,Building_112,Government,7.0,,Fair
B113,Building_113,Government,8.0,2016.0,Good
B114,Building_114,Residential,6.0,1996.0,Fair
B115,Building_115,Residential,4.0,2018.0,Good
B116,Building_116,Residential,6.0,2005.0,Good
B117,Building_117,Commercial,3.0,2018.0,Fair
B118,Building_118,Residential,8.0,,Fair
B119,Building_119,Residential,,1983.0,Fair
B120,Building_120,Commercial,5.0,2009.0,Fair
B121,Building_121,Commercial,1.0,2009.0,Good
B122,Building_122,Residential,6.0,2001.0,Fair
B123,Building_123,Residential,,1990.0,Fair
B124,Building_124,nan,4.0,1981.0,Good
B125,Building_125,Residential,6.0,1991.0,Poor
B126,Building_126,Government,,2009.0,nan
B127,nan,Government,8.0,2015.0,Good
B128,nan,Residential,,1997.0,Poor
B129,nan,Government,4.0,2005.0,Good
B130,Building_130,Commercial,,1986.0,Fair
B131,Building_131,Government,8.0,1980.0,Fair
B132,Building_132,Government,1.0,2005.0,nan
B133,Building_133,nan,4.0,2002.0,Fair
B134,Building_134,Government,4.0,2005.0,Poor
B135,Building_135,Government,,1985.0,Poor
nan,Building_136,nan,7.0,1985.0,Fair
B137,Building_137,Government,8.0,1987.0,Fair
B138,Building_138,Commercial,5.0,2003.0,Poor
nan,Building_139,Residential,7.0,2001.0,Fair
B140,Building_140,Residential,,1998.0,Good
B141,Building_141,Commercial,,,nan
B142,Building_142,Government,3.0,,Fair
nan,Building_143,Commercial,3.0,2010.0,Good
B144,Building_144,Government,4.0,,Fair
nan,Building_145,Commercial,5.0,2009.0,Fair
B146,Building_146,Residential,1.0,2021.0,Poor
B147,Building_147,Residential,7.0,2012.0,Fair
nan,Building_148,Residential,9.0,1989.0,Fair
B149,Building_149,Government,8.0,2016.0,Good
B150,Building_150,Government,5.0,1991.0,Poor
nan,Building_151,Commercial,4.0,2009.0,Poor
B152,Building_152,Commercial,7.0,2006.0,Poor
B153,Building_153,Residential,5.0,2018.0,Fair
B154,Building_154,Government,7.0,1988.0,nan
B155,Building_155,Commercial,1.0,2000.0,Good
B156,Building_156,Government,1.0,1991.0,Poor
B157,Building_157,Government,3.0,2008.0,Good
nan,Building_158,Residential,,2012.0,nan
B159,Building_159,Residential,2.0,2022.0,Poor
B160,Building_160,Government,7.0,1994.0,Good
B161,Building_161,Government,2.0,1981.0,Poor
nan,Building_162,Government,4.0,2018.0,Poor
B163,Building_163,nan,2.0,1997.0,Poor
B164,Building_164,Residential,6.0,1982.0,Fair
B165,Building_165,Commercial,,1986.0,Good
B166,Building_166,Residential,4.0,,Poor
B167,Building_167,Commercial,5.0,1997.0,Good
B168,Building_168,nan,4.0,2017.0,nan
B169,Building_169,Commercial,3.0,2016.0,Good
B170,Building_170,Residential,5.0,,Poor
B171,Building_171,Residential,9.0,2010.0,Poor
B172,Building_172,Government,8.0,,Good
B173,Building_173,Residential,8.0,1983.0,Fair
B174,nan,Government,8.0,,Good
B175,Building_175,Residential,8.0,1983.0,nan
B176,Building_176,Residential,,2013.0,Good
B177,Building_177,Government,,2008.0,Good
B178,nan,Commercial,8.0,2003.0,Good
B179,Building_179,Residential,,2001.0,Poor
B180,Building_180,Commercial,7.0,1981.0,Fair
B181,Building_181,Residential,1.0,1985.0,Fair
B182,Building_182,Residential,4.0,2021.0,Good
B183,Building_183,Residential,4.0,2004.0,Poor
nan,Building_184,Residential,5.0,2000.0,Poor
B185,Building_185,Commercial,6.0,1995.0,Fair
B186,Building_186,Commercial,4.0,2010.0,Poor
B187,Building_187,Residential,2.0,1993.0,Fair
B188,Building_188,Residential,6.0,2018.0,nan
B189,Building_189,Commercial,8.0,2007.0,nan
nan,nan,Government,8.0,2011.0,Poor
B191,Building_191,Government,7.0,2007.0,Fair
B192,nan,Commercial,6.0,1988.0,Fair
B193,Building_193,Residential,2.0,,nan
B194,Building_194,Residential,7.0,2011.0,Fair
B195,Building_195,Government,5.0,1984.0,Fair
B196,nan,nan,6.0,2002.0,Good
B197,Building_197,Commercial,8.0,1984.0,Good
nan,Building_198,Government,8.0,2021.0,Poor
B199,nan,Commercial,3.0,2011.0,Fair
nan,Building_200,Government,7.0,1989.0,Poor
B201,Building_201,Government,1.0,2018.0,Poor
B202,Building_202,Government,1.0,1994.0,Good
nan,nan,Residential,7.0,1986.0,Poor
B204,Building_204,Residential,9.0,2008.0,Fair
B205,Building_205,nan,7.0,1982.0,Good
B206,Building_206,Government,,1998.0,Fair
B207,Building_207,Commercial,8.0,1989.0,Fair
B208,Building_208,Commercial,2.0,,Good
B209,nan,Commercial,9.0,2008.0,nan
B210,Building_210,Commercial,6.0,1994.0,Good
B211,Building_211,Residential,9.0,2014.0,Fair
B212,Building_212,Residential,2.0,1985.0,Good
B213,Building_213,Government,3.0,1991.0,nan
B214,Building_214,Government,,,nan
B215,Building_215,Commercial,1.0,1992.0,Good
B216,Building_216,Residential,7.0,2008.0,Fair
B217,Building_217,Commercial,7.0,1998.0,Fair
B218,nan,Government,,1982.0,Fair
nan,Building_219,Government,9.0,1987.0,Good
B220,Building_220,Commercial,8.0,1987.0,Poor
B221,Building_221,Government,4.0,1999.0,Poor
B222,Building_222,Commercial,5.0,1983.0,nan
B223,nan,Residential,2.0,2000.0,Good
B224,Building_224,Commercial,9.0,1982.0,Poor
B225,Building_225,Residential,6.0,1987.0,nan
B226,Building_226,Residential,3.0,2002.0,Fair
B227,Building_227,Government,7.0,1995.0,Fair
B228,Building_228,Government,9.0,1992.0,Poor
B229,Building_229,nan,3.0,1982.0,nan
B230,Building_230,Commercial,2.0,1988.0,Fair
B231,Building_231,Commercial,7.0,1993.0,Good
B232,Building_232,Government,7.0,1992.0,Good
B233,Building_233,Commercial,4.0,1986.0,nan
B234,Building_234,Government,9.0,1994.0,Good
B235,Building_235,Commercial,8.0,1986.0,Fair
B236,Building_236,Residential,1.0,2017.0,Fair
B237,Building_237,Residential,1.0,2013.0,nan
B238,Building_238,nan,5.0,2020.0,Good
B239,Building_239,Commercial,6.0,2001.0,Fair
nan,Building_240,Commercial,,2003.0,Good
B241,Building_241,Residential,9.0,2016.0,Fair
B242,Building_242,Residential,6.0,1980.0,Fair
B243,nan,Government,4.0,1989.0,Poor
nan,Building_244,Residential,7.0,2022.0,Poor
B245,Building_245,Government,8.0,1995.0,Poor
B246,Building_246,Residential,9.0,1987.0,Good
B247,Building_247,Residential,6.0,2004.0,Good
B248,nan,Commercial,6.0,1991.0,nan
B249,Building_249,Residential,8.0,2004.0,Fair
B250,Building_250,Residential,5.0,,Fair
nan,Building_251,Government,3.0,2005.0,Fair
B252,Building_252,Residential,3.0,1993.0,Good
B253,Building_253,Government,6.0,2020.0,Fair
B254,Building_254,Residential,2.0,2015.0,Fair
B255,Building_255,nan,6.0,2002.0,nan
B256,Building_256,Government,6.0,2022.0,nan
B257,Building_257,nan,8.0,1985.0,Fair
nan,Building_258,Government,7.0,1984.0,nan
B259,Building_259,Government,8.0,2022.0,Good
nan,Building_260,Government,9.0,2004.0,Poor
B261,Building_261,Commercial,6.0,1997.0,Fair
B262,Building_262,nan,3.0,1992.0,Fair
B263,Building_263,Government,3.0,2022.0,Poor
B264,Building_264,Government,1.0,1993.0,Fair
B265,Building_265,Commercial,5.0,,Good
B266,nan,Government,4.0,,nan
B267,Building_267,nan,9.0,2007.0,Good
B268,Building_268,Commercial,,2006.0,Good
B269,Building_269,nan,5.0,2011.0,Fair
nan,Building_270,Residential,4.0,1988.0,Poor
B271,Building_271,Commercial,7.0,,Good
B272,Building_272,Government,6.0,2011.0,Poor
B273,nan,Residential,4.0,1999.0,Fair
B274,Building_274,nan,,2007.0,Good
B275,nan,Residential,1.0,2012.0,Fair
B276,Building_276,Residential,4.0,1983.0,nan
B277,Building_277,Commercial,4.0,2013.0,Fair
B278,Building_278,Commercial,1.0,1982.0,Fair
B279,Building_279,nan,6.0,2005.0,Good
B280,Building_280,Government,,1987.0,Fair
B281,Building_281,Residential,1.0,1985.0,nan
B282,Building_282,Government,1.0,,Fair
B283,Building_283,nan,1.0,2003.0,Good
B284,Building_284,Government,8.0,,Poor
B285,Building_285,Residential,8.0,2009.0,Poor
B286,Building_286,Government,2.0,1992.0,Fair
B287,Building_287,Residential,7.0,1984.0,Good
B288,Building_288,Residential,8.0,2004.0,Fair
B289,Building_289,Government,8.0,1999.0,Poor
B290,Building_290,Commercial,7.0,1997.0,Good
B291,Building_291,Government,5.0,,Poor
B292,nan,Commercial,1.0,1981.0,Poor
nan,Building_293,Residential,9.0,1989.0,Good
B294,Building_294,Government,7.0,1991.0,Good
B295,Building_295,Government,2.0,1992.0,Fair
B296,Building_296,Government,6.0,1990.0,Fair
nan,Building_297,Commercial,2.0,,nan
B298,Building_298,Commercial,1.0,2014.0,Good
B299,Building_299,Residential,7.0,2018.0,Good
B300,Building_300,Commercial,2.0,2005.0,Fair
B301,Building_301,Commercial,2.0,1993.0,Poor
B302,Building_302,Residential,5.0,2003.0,Poor
B303,Building_303,Government,5.0,2020.0,Fair
B304,nan,Government,,1980.0,Good
B305,Building_305,nan,1.0,2022.0,Fair
B306,Building_306,Government,,2001.0,Fair
B307,Building_307,Commercial,3.0,2002.0,Fair
B308,Building_308,Residential,4.0,1998.0,Fair
B309,Building_309,Residential,9.0,1997.0,Good
B310,Building_310,Residential,4.0,1991.0,Fair
B311,Building_311,Government,5.0,2007.0,Good
B312,Building_312,Residential,7.0,2007.0,Fair
B313,Building_313,Residential,4.0,2012.0,Poor
B314,Building_314,Residential,1.0,1998.0,Good
B315,nan,Government,9.0,2007.0,Poor
B316,Building_316,Commercial,4.0,2016.0,Fair
nan,Building_317,nan,9.0,,Fair
B318,Building_318,Commercial,,2014.0,Fair
B319,Building_319,nan,1.0,2013.0,Good
B320,Building_320,Government,3.0,2014.0,Poor
B321,Building_321,Government,2.0,2019.0,nan
B322,Building_322,Government,,1995.0,Good
B323,Building_323,Commercial,1.0,,nan
B324,Building_324,Residential,9.0,1992.0,Poor
B325,Building_325,Government,9.0,2002.0,Fair
B326,Building_326,Government,8.0,2001.0,Good
B327,nan,Commercial,8.0,1995.0,Fair
B328,Building_328,Commercial,1.0,2007.0,Poor
B329,Building_329,Government,8.0,2014.0,Fair
B330,nan,Residential,3.0,1987.0,Poor
B331,Building_331,Residential,7.0,2001.0,Poor
B332,Building_332,Government,1.0,2000.0,Fair
B333,Building_333,Commercial,1.0,2005.0,Good
B334,Building_334,Government,5.0,2019.0,Fair
B335,Building_335,Government,5.0,2000.0,Good
B336,Building_336,Commercial,8.0,2004.0,Good
B337,Building_337,Government,7.0,2020.0,Fair
B338,Building_338,Government,8.0,1980.0,nan
B339,Building_339,Government,6.0,1985.0,Good
nan,Building_340,Commercial,6.0,2002.0,Fair
B341,Building_341,Residential,2.0,2002.0,Fair
B342,Building_342,Residential,6.0,2022.0,Fair
B343,Building_343,Commercial,5.0,2022.0,Good
B344,Building_344,Residential,3.0,2002.0,Poor
B345,nan,nan,,2011.0,Good
B346,Building_346,Residential,8.0,2009.0,Poor
B347,nan,Government,,1992.0,Fair
B348,Building_348,Residential,1.0,2022.0,Poor
B349,Building_349,Commercial,3.0,1997.0,Fair
B350,Building_350,Residential,3.0,2002.0,Fair
nan,Building_351,nan,8.0,1994.0,Poor
B352,Building_352,Residential,1.0,2012.0,nan
B353,Building_353,Commercial,5.0,2000.0,Poor
B354,Building_354,Residential,3.0,2018.0,nan
B355,Building_355,Commercial,2.0,2002.0,Good
B356,Building_356,Government,8.0,2006.0,Good
B357,Building_357,Residential,,1997.0,Fair
B358,Building_358,nan,7.0,,Fair
B359,Building_359,Commercial,1.0,,nan
B360,Building_360,Residential,6.0,2021.0,Good
B361,Building_361,Government,3.0,1986.0,Poor
B362,Building_362,Commercial,8.0,1999.0,Fair
B363,Building_363,Residential,6.0,2006.0,Fair
nan,Building_364,Government,2.0,,Poor
B365,nan,nan,6.0,2006.0,Fair
B366,Building_366,Commercial,,1988.0,Good
B367,Building_367,Government,5.0,2010.0,Poor
B368,Building_368,Government,3.0,2000.0,Good
B369,Building_369,Residential,4.0,2005.0,Good
B370,nan,Residential,4.0,2019.0,nan
B371,Building_371,Commercial,6.0,1992.0,Poor
B372,Building_372,Government,1.0,2002.0,Fair
B373,Building_373,Government,4.0,1999.0,Good
B374,Building_374,Government,4.0,2016.0,Good
B375,Building_375,Commercial,1.0,2007.0,Good
B376,Building_376,Government,,1996.0,Fair
B377,Building_377,Government,4.0,2007.0,nan
B378,Building_378,Commercial,7.0,2020.0,Poor
B379,Building_379,Residential,3.0,1981.0,Fair
B380,nan,Residential,3.0,2004.0,Poor
B381,Building_381,Commercial,8.0,2020.0,Poor
B382,Building_382,Government,8.0,1985.0,Poor
B383,Building_383,nan,1.0,1990.0,Poor
B384,Building_384,Residential,2.0,2017.0,nan
B385,Building_385,Residential,8.0,1985.0,Good
B386,Building_386,Commercial,1.0,1990.0,Fair
B387,Building_387,Commercial,8.0,1993.0,Good
B388,nan,Residential,8.0,1981.0,Poor
B389,Building_389,Commercial,2.0,2019.0,Fair
B390,Building_390,Residential,4.0,1982.0,Good
B391,Building_391,Commercial,6.0,2014.0,Good
B392,Building_392,Commercial,9.0,2012.0,Poor
B393,Building_393,Commercial,8.0,2003.0,nan
B394,Building_394,Residential,8.0,1998.0,Good
B395,Building_395,nan,7.0,1997.0,Good
B396,Building_396,Residential,9.0,2003.0,Good
B397,Building_397,Residential,2.0,2014.0,Good
B398,Building_398,Commercial,3.0,1980.0,Poor
B399,Building_399,Commercial,8.0,2015.0,Poor
B400,Building_400,nan,6.0,2004.0,Good
nan,Building_401,Residential,9.0,,Poor
B402,Building_402,Government,4.0,2013.0,Poor
B403,nan,Residential,8.0,2004.0,Fair
B404,Building_404,nan,3.0,1995.0,Good
B405,Building_405,Government,3.0,2013.0,Poor
nan,Building_406,Government,8.0,2008.0,Poor
B407,Building_407,Commercial,5.0,1998.0,nan
B408,Building_408,nan,3.0,2002.0,Fair
B409,Building_409,Residential,1.0,1998.0,Good
B410,Building_410,Government,3.0,2004.0,Fair
B411,nan,Commercial,9.0,1995.0,Good
B412,Building_412,Commercial,,1988.0,Good
B413,Building_413,Commercial,2.0,1980.0,Good
B414,Building_414,Commercial,7.0,2021.0,Good
B415,Building_415,Commercial,2.0,1998.0,Fair
B416,Building_416,Government,4.0,2012.0,Fair
B417,Building_417,Government,7.0,2013.0,Poor
B418,Building_418,Government,,1995.0,nan
B419,Building_419,Government,7.0,2019.0,Fair
B420,Building_420,Residential,7.0,,Fair
B421,nan,Government,1.0,2013.0,Fair
B422,Building_422,Commercial,6.0,2004.0,Good
nan,Building_423,Government,9.0,1985.0,nan
B424,Building_424,Residential,2.0,2000.0,Fair
B425,Building_425,Commercial,3.0,1985.0,Good
B426,nan,Government,5.0,2011.0,Fair
B427,nan,Government,9.0,2020.0,Fair
B428,Building_428,Government,4.0,2022.0,Poor
B429,Building_429,Commercial,1.0,2018.0,nan
B430,Building_430,Commercial,4.0,2010.0,Fair
B431,Building_431,Residential,6.0,2021.0,nan
B432,Building_432,Commercial,5.0,1989.0,Good
B433,Building_433,Commercial,1.0,2009.0,Poor
B434,Building_434,Government,4.0,1997.0,Good
nan,Building_435,Commercial,6.0,2003.0,Good
nan,Building_436,Government,4.0,1988.0,Poor
B437,Building_437,Government,,2010.0,Fair
B438,Building_438,Commercial,5.0,1994.0,Poor
B439,Building_439,Residential,8.0,1983.0,Good
B440,Building_440,Residential,9.0,2019.0,Poor
B441,Building_441,Commercial,5.0,1988.0,Fair
B442,Building_442,Residential,6.0,1988.0,Poor
B443,Building_443,Government,1.0,2005.0,Good
B444,Building_444,Government,7.0,1983.0,Good
B445,nan,Commercial,4.0,1996.0,Poor
B446,Building_446,Residential,2.0,1995.0,nan
B447,Building_447,Residential,5.0,1994.0,Poor
B448,nan,nan,3.0,2014.0,Fair
B449,Building_449,Commercial,6.0,1984.0,Fair
B450,Building_450,Residential,8.0,1984.0,Poor
B451,Building_451,Commercial,7.0,1999.0,Fair
B452,Building_452,Residential,3.0,1994.0,Good
B453,Building_453,Government,8.0,1997.0,Poor
B454,Building_454,Government,2.0,1981.0,nan
B455,Building_455,Commercial,9.0,2008.0,Good
B456,Building_456,Government,4.0,1992.0,nan
B457,Building_457,Residential,1.0,1983.0,Good
B458,Building_458,Government,8.0,2021.0,Good
B459,Building_459,Commercial,7.0,1989.0,Good
B460,Building_460,Commercial,5.0,2010.0,Fair
B461,Building_461,nan,5.0,2020.0,nan
B462,Building_462,Residential,7.0,1987.0,nan
B463,Building_463,Residential,5.0,1982.0,Fair
B464,Building_464,Residential,8.0,1988.0,Poor
B465,Building_465,Residential,6.0,2009.0,Good
B466,Building_466,Residential,,1990.0,Poor
B467,Building_467,Government,,2014.0,Fair
B468,Building_468,Residential,2.0,2016.0,Good
B469,Building_469,nan,1.0,2021.0,Fair
B470,Building_470,Government,8.0,1992.0,Good
B471,Building_471,nan,3.0,2015.0,Good
B472,Building_472,Commercial,7.0,,Poor
B473,nan,nan,8.0,1991.0,Good
B474,Building_474,Residential,6.0,2016.0,Fair
B475,Building_475,nan,9.0,1989.0,Poor
B476,Building_476,Commercial,7.0,1988.0,Fair
B477,Building_477,Commercial,5.0,1986.0,Good
B478,Building_478,Commercial,8.0,1981.0,Fair
B479,Building_479,Residential,2.0,2002.0,Fair
B480,Building_480,Commercial,7.0,2018.0,Good
B481,Building_481,Commercial,4.0,2019.0,Poor
B482,Building_482,Government,,2018.0,Fair
B483,Building_483,Commercial,1.0,2000.0,Good
B484,Building_484,Commercial,7.0,2002.0,Poor
B485,Building_485,Government,6.0,2008.0,Poor
B486,Building_486,Government,8.0,1993.0,Poor
B487,nan,Residential,5.0,2005.0,Fair
B488,Building_488,Government,1.0,,nan
B489,Building_489,Residential,1.0,2010.0,Fair
B490,Building_490,Government,9.0,2004.0,Poor
nan,Building_491,Government,6.0,2010.0,Fair
B492,Building_492,nan,5.0,1999.0,Good
B493,Building_493,Government,1.0,1996.0,Fair
B494,Building_494,Residential,6.0,1981.0,Fair
B495,Building_495,Government,6.0,,Poor
B496,nan,Commercial,3.0,1992.0,Fair
B497,Building_497,Government,8.0,,nan
B498,Building_498,Residential,1.0,2007.0,Poor
B499,Building_499,Government,1.0,2021.0,Good
B500,nan,nan,6.0,1985.0,nan
B501,Building_501,Residential,1.0,1982.0,Poor
B502,Building_502,Commercial,6.0,,Fair
B503,Building_503,Commercial,1.0,,Good
B504,Building_504,Residential,6.0,1990.0,Poor
B505,Building_505,Government,3.0,1999.0,Fair
B506,Building_506,Residential,8.0,1984.0,nan
nan,Building_507,Residential,6.0,,Poor
B508,Building_508,Government,1.0,2001.0,Poor
B509,Building_509,Government,5.0,1998.0,Poor
B510,nan,Government,8.0,1995.0,nan
B511,Building_511,Government,3.0,2003.0,Poor
B512,nan,Residential,,2020.0,Fair
nan,Building_513,Residential,5.0,1983.0,Poor
nan,Building_514,Commercial,6.0,1994.0,Good
B515,Building_515,Residential,,2004.0,Fair
B516,Building_516,Government,7.0,2014.0,Good
B517,Building_517,Commercial,,1993.0,Poor
B518,Building_518,nan,2.0,1998.0,Good
B519,Building_519,Residential,5.0,2017.0,Poor
B520,Building_520,Commercial,4.0,2015.0,Poor
B521,Building_521,Government,6.0,1986.0,Fair
B522,nan,Commercial,6.0,2009.0,Fair
B523,nan,Commercial,,1998.0,Poor
B524,Building_524,Residential,2.0,2004.0,Fair
B525,Building_525,Government,4.0,1995.0,Good
B526,Building_526,Commercial,1.0,2019.0,Fair
B527,Building_527,Commercial,9.0,1987.0,Fair
B528,nan,Government,7.0,1997.0,Good
B529,Building_529,Commercial,7.0,2007.0,Fair
B530,Building_530,Commercial,3.0,1995.0,Poor
B531,Building_531,Commercial,3.0,1998.0,Good
B532,Building_532,Government,1.0,2021.0,Poor
nan,Building_533,nan,3.0,1996.0,Good
B534,Building_534,Government,3.0,1992.0,Poor
B535,Building_535,Government,4.0,1986.0,Poor
B536,Building_536,Residential,4.0,2006.0,Fair
B537,Building_537,Commercial,,1989.0,Poor
B538,Building_538,Government,8.0,2013.0,Fair
B539,Building_539,Commercial,8.0,2015.0,Good
nan,Building_540,Commercial,1.0,2004.0,Poor
B541,Building_541,Residential,7.0,1985.0,Poor
B542,Building_542,Government,2.0,2003.0,Good
B543,Building_543,Government,,1997.0,Good
B544,Building_544,Commercial,3.0,2002.0,Poor
B545,Building_545,Government,4.0,1985.0,Good
B546,Building_546,Commercial,,2008.0,Fair
nan,Building_547,Commercial,5.0,2004.0,Good
B548,Building_548,Residential,4.0,1996.0,Good
B549,Building_549,Residential,8.0,2003.0,Poor
B550,Building_550,Residential,4.0,1990.0,Fair
B551,Building_551,Commercial,2.0,2005.0,Good
B552,Building_552,Government,3.0,2013.0,Fair
B553,nan,Residential,6.0,2007.0,Fair
nan,Building_554,Government,8.0,1982.0,Fair
B555,Building_555,Residential,8.0,1990.0,nan
B556,Building_556,nan,9.0,2017.0,Good
B557,Building_557,Commercial,7.0,,Poor
B558,Building_558,Residential,2.0,2005.0,Good
B559,Building_559,nan,8.0,2000.0,nan
B560,Building_560,Commercial,7.0,2018.0,Poor
B561,Building_561,Government,8.0,2009.0,Fair
B562,Building_562,Residential,3.0,,Fair
B563,Building_563,Commercial,7.0,1999.0,Good
nan,nan,Residential,9.0,,Poor
B565,Building_565,Commercial,3.0,2001.0,Fair
B566,Building_566,Government,6.0,1986.0,Fair
B567,Building_567,Government,2.0,1988.0,Good
B568,Building_568,Commercial,2.0,1980.0,Good
B569,Building_569,Commercial,5.0,2008.0,Poor
B570,Building_570,nan,5.0,1987.0,Good
B571,nan,Government,7.0,,Fair
B572,Building_572,Residential,,2014.0,Fair
B573,Building_573,Government,7.0,1982.0,nan
B574,Building_574,nan,5.0,2019.0,Fair
B575,Building_575,Commercial,6.0,1986.0,Poor
B576,Building_576,Government,8.0,2006.0,Poor
B577,Building_577,Commercial,4.0,,Good
B578,Building_578,Government,7.0,2006.0,Good
B579,Building_579,Commercial,6.0,1995.0,Good
B580,Building_580,Residential,2.0,2017.0,Poor
B581,Building_581,Residential,8.0,1986.0,Fair
nan,Building_582,Commercial,9.0,2002.0,Good
B583,Building_583,Government,5.0,,Fair
B584,Building_584,Residential,4.0,1990.0,Good
B585,Building_585,Government,6.0,2021.0,Good
B586,Building_586,Commercial,8.0,2012.0,nan
B587,Building_587,Government,,2015.0,Good
B588,Building_588,nan,1.0,2016.0,Good
B589,Building_589,Government,4.0,2020.0,Fair
B590,Building_590,Government,4.0,1996.0,Good
B591,Building_591,nan,1.0,2014.0,Fair
